Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Acer,Core i5-12500H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,4 Cell – 58.75 Wh,Old,17.600.000
Acer,Core i5-12450H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,4 Cell – 58.75 Wh,Old,18.000.000
Acer,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD 165GHz,4 Cell – 58.75 Wh,Old,18.900.000
Acer,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD 165GHz,4 Cell – 58.75 Wh,Old,19.700.000
Acer,Core i7-12700H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD,4 Cell – 58.75 Wh,Old,19.800.000
Acer,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,4 Cell – 58.75 Wh,Old,22.700.000
Acer,Core i9-12900H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,4 Cell – 58.75 Wh,Old,23.500.000
Acer,Core i7-12650H,16 GB,SSD 512GB,Nvidia GeForce RTX 4060 8GB,15.6 inch Full HD,4 Cell – 58.75 Wh,Old,26.300.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,18.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,20.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,22.000.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,22.500.000
Dell,Core i7-12650H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,23.500.000
