Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Lenovo,Core i7-13620H,16 GB,SSD 1TB,Nvidia GeForce RTX 4050 6GB,16 inch 2.5K,4 cell 80whr Super Rapid Charge,New,27.900.000
Lenovo,Core i7-13620H,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,16 inch 2.5K,4 cell 80whr Super Rapid Charge,New,29.900.000
Lenovo,Core i7-13700H,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,16 inch 2.5K,4 cell 80whr Super Rapid Charge,New,30.900.000
Dell,Core i5-1135G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,15.6 inch Full HD,"3 Cell, 41Whr",New,11.400.000
Dell,AMD Ryzen R5-5625U,16 GB,SSD 512GB,AMD Radeon Graphics,14 inch FHD+,4 Cell 54Wh,New,11.900.000
Dell,AMD Ryzen R5-5625U,16 GB,SSD 512GB,AMD Radeon Graphics,14 inch FHD+,4 Cell 54Wh,New,13.400.000
Dell,AMD Ryzen R5-5625U,16 GB,SSD 512GB,AMD Radeon Graphics,14 inch 2K,4 Cell 54Wh,New,13.700.000
Dell,AMD Ryzen R7-5825U,16 GB,SSD 512GB,AMD Radeon Graphics,14 inch FHD+,4 Cell 54Wh,New,14.900.000
Dell,AMD Ryzen R7-5825U,16 GB,SSD 512GB,AMD Radeon Graphics,14 inch FHD+,4 Cell 54Wh,New,16.300.000
Surface,AMD Ryzen 5-3580U,8 GB,SSD 128GB,Radeon Vega 9 Graphics,15 inch (2496x1664) pixel,11.5 Tiếng,New,13.400.000
Dell,AMD Ryzen 5-7530U,8 GB,SSD 512GB,AMD Radeon Graphics,14 inch FHD+,4-Cell 65WHr,New,13.700.000
Dell,Core i5-1240P,16 GB,SSD 512GB,Intel Iris Xe Graphics,16.0 inch FHD+,4 Cell 54Wh,New,14.500.000
Dell,Core i7-1260P,16 GB,SSD 512GB,Intel Iris Xe Graphics,16.0 inch FHD+,4 Cell 54Wh,New,16.500.000
Asus,Core i5-1240P,8 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch 2.8K,63Wh,New,14.800.000
Dell,Core i5-1335U,8 GB,SSD 512GB,Intel UHD Graphics,15.6 inch Full HD,3 cell 41 Wh,New,14.600.000
HP,Core i5-1135G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,15.6 inch Full HD cảm ứng,"3-cell, 51 Wh Li-ion polymer",New,16.400.000
Dell,Core i5-1135G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,13.4 inch Full HD,51WHr,New,18.800.000
Dell,Core i5-1230U,8 GB,SSD 512GB,Intel Iris Xe Graphics,13.4 inch FHD+,"3-Cell Battery, 51 Whr (Integrated)",New,19.900.000
Dell,Core i5-1230U,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.4 inch FHD+,"3-Cell Battery, 51 Whr (Integrated)",New,21.500.000
Dell,Core i7-10750H,16 GB,SSD 512GB,Nvidia GeForce GTX 1650Ti 4GB,15.6 inch Full HD,"68 Whr, 6-cell",New,21.900.000
Dell,Core i7-13700H,16 GB,SSD 512GB,Intel ARC 370M 4GB,15.6 inch FHD+,86 Wh Lithium-Ion,New,36.900.000
Dell,Core i7-13700H,16 GB,SSD 1TB,Nvidia GeForce RTX 4050 6GB,15.6 inch FHD+,86 Wh Lithium-Ion,New,44.500.000
Asus,Core i5-13500H,8 GB,SSD 512GB,Intel Iris Xe Graphics,14.5 inch 2K+,70 WHrs,New,15.000.000
Dell,Core i5-1335U,8 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD cảm ứng,4 Cell 54 Wh,New,15.900.000
Lenovo,AMD Ryzen 5-7535HS,8 GB,SSD 512GB,Nvidia GeForce RTX 2050 4GB,15.6 inch Full HD,Integrated 45Wh,New,15.700.000
Lenovo,Core i5-12450H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,Integrated 60Wh,New,18.900.000
Lenovo,Core i5-13420H,8 GB,SSD 1TB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,Integrated 60Wh,New,19.500.000
Lenovo,Ryzen 7-7840HS,8 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,Integrated 60Wh,New,20.500.000
